cityLabel,population,countryCode,country
Shizuishan,751389,CN,http://www.wikidata.org/entity/Q148
Ciudad Guayana,751331,VE,http://www.wikidata.org/entity/Q717
Natal,751300,BR,http://www.wikidata.org/entity/Q155
Winnipeg,749607,CA,http://www.wikidata.org/entity/Q16
Santo André,748919,BR,http://www.wikidata.org/entity/Q155
Mangaung Metropolitan Municipality,747431,ZA,http://www.wikidata.org/entity/Q258
Dasmariñas,744511,PH,http://www.wikidata.org/entity/Q928
Thiruvananthapuram,743691,IN,http://www.wikidata.org/entity/Q668
Nampula,743000,MZ,http://www.wikidata.org/entity/Q1029
Pretoria,741651,ZA,http://www.wikidata.org/entity/Q258
Cagayan de Oro,741617,PH,http://www.wikidata.org/entity/Q928
Bouaké,740000,CI,http://www.wikidata.org/entity/Q1008
Cabinda,739182,AO,http://www.wikidata.org/entity/Q916
Kumamoto,738385,JP,http://www.wikidata.org/entity/Q17
São José dos Campos,737310,BR,http://www.wikidata.org/entity/Q155
Seattle,737015,US,http://www.wikidata.org/entity/Q30
Urmia,736224,IR,http://www.wikidata.org/entity/Q794
Namyangju,732376,KR,http://www.wikidata.org/entity/Q884
Ribeirão Preto,731639,BR,http://www.wikidata.org/entity/Q155
Osogbo,731000,NG,http://www.wikidata.org/entity/Q1033
Shizuishan,730400,CN,http://www.wikidata.org/entity/Q148
Tamale,729768,GH,http://www.wikidata.org/entity/Q117
São José dos Campos,729737,BR,http://www.wikidata.org/entity/Q155
Ribeirão Preto,728400,BR,http://www.wikidata.org/entity/Q155
Jiyuan,727265,CN,http://www.wikidata.org/entity/Q148
Nova Iguaçu,727140,BR,http://www.wikidata.org/entity/Q155
São José dos Campos,727078,BR,http://www.wikidata.org/entity/Q155
Padang,726000,ID,http://www.wikidata.org/entity/Q252
Sagamihara,725696,JP,http://www.wikidata.org/entity/Q17
Q1623,725173,PH,http://www.wikidata.org/entity/Q928
São José dos Campos,724756,BR,http://www.wikidata.org/entity/Q155
Najaf,724700,IQ,http://www.wikidata.org/entity/Q796
Sorocaba,723574,BR,http://www.wikidata.org/entity/Q155
Sagamihara,722973,JP,http://www.wikidata.org/entity/Q17
General Santos,722059,PH,http://www.wikidata.org/entity/Q928
São José dos Campos,721944,BR,http://www.wikidata.org/entity/Q155
Ribeirão Preto,720116,BR,http://www.wikidata.org/entity/Q155
Okayama,720043,JP,http://www.wikidata.org/entity/Q17
San Pedro Sula,719064,HN,http://www.wikidata.org/entity/Q783
Mississauga,717961,CA,http://www.wikidata.org/entity/Q16
Oslo,717710,NO,http://www.wikidata.org/entity/Q20
Lviv,717273,UA,http://www.wikidata.org/entity/Q212
Shihezi,717000,CN,http://www.wikidata.org/entity/Q148
Suez,716458,EG,http://www.wikidata.org/entity/Q79
Denver,715522,US,http://www.wikidata.org/entity/Q30
São José dos Campos,713943,BR,http://www.wikidata.org/entity/Q155
Uberlândia,713224,BR,http://www.wikidata.org/entity/Q155
Ribeirão Preto,711825,BR,http://www.wikidata.org/entity/Q155
Jaboatão dos Guararapes,711330,BR,http://www.wikidata.org/entity/Q155
Zaporizhzhia,710052,UA,http://www.wikidata.org/entity/Q212
Zanzibar City,709809,TZ,http://www.wikidata.org/entity/Q924
Bhiwandi,709665,IN,http://www.wikidata.org/entity/Q668
Latakia,709000,SY,http://www.wikidata.org/entity/Q858
Subang Jaya,708296,MY,http://www.wikidata.org/entity/Q833
George Town,708127,MY,http://www.wikidata.org/entity/Q833
Bukavu,707053,CD,http://www.wikidata.org/entity/Q974
Jaboatão dos Guararapes,706867,BR,http://www.wikidata.org/entity/Q155
Uberlândia,706597,BR,http://www.wikidata.org/entity/Q155
Mwanza,706453,TZ,http://www.wikidata.org/entity/Q924
